Record_Type,Title,Description,Category,Severity,Priority
Minor Bug,Missing Meta Description,index.html lacks a meta description tag.,Code Quality,Minor,P3
Minor Bug,Inconsistent Padding on Buttons,Button paddings differ (8px vs 10px).,UI/UX,Minor,P3
Minor Bug,Capitalization Inconsistency,Buttons mix Title Case and Sentence case.,UI/UX,Minor,P3
Minor Bug,Placeholder Text Contrast,Placeholders have low contrast ratio (2.1:1).,Accessibility,Minor,P3
Minor Bug,No Max Length on City Input,"City input allows 1000 chars, breaking card UI.",Functional,Minor,P3
Minor Bug,Missing Print Styles,Printing dashboard results in broken layout.,UI/UX,Minor,P3
Minor Bug,Console.log left in production,Console logs 'DEBUG: rendered' on every update.,Code Quality,Minor,P3
Minor Bug,Unoptimized PNG usage,Background image served as PNG instead of WebP.,Performance,Minor,P3
Minor Bug,Missing 'lang' attribute on divs,Some text containers lack language definition.,Accessibility,Minor,P3
Minor Bug,Hover state on active tab,Active tab still shows hover effect.,UI/UX,Minor,P3
Minor Bug,Double space in empty state text,Text has two spaces: 'No  data'.,UI/UX,Minor,P3
Minor Bug,Incorrect font fallback,System-ui listed before OS-specific fallbacks.,Code Quality,Minor,P3
Minor Bug,Z-index issues on tooltips,Tooltips get hidden behind header.,UI/UX,Minor,P3
