Record_Type,Title,Description,Category,Severity,Priority,Cluster
Bug,DOM Clobbering in Result Card,The result card rendering can be hijacked via DOM clobbering.,Security,Critical,P1,State & DOM Management
Bug,WebSocket Connection Drops Silently,Dropped WebSocket connections do not attempt to reconnect.,Functional,Critical,P1,Infrastructure & Networking
Bug,Unencrypted API Keys in Local Storage,The frontend stores the X-API-Key in plaintext in localStorage.,Security,Critical,P1,Authentication & Authorization
Bug,Broken Layout on Mobile Devices,Tab bar and sidebar overlap on screens smaller than 768px.,UI/UX,Medium,P2,Layout & Styling
Bug,Chart Animations Jitter on Safari,Pipeline nodes animation lags and jitters on Safari 16+.,Browser Compat,Medium,P2,Layout & Styling
Bug,Missing Pagination on Transaction Log,The transaction log grows infinitely without pagination.,Performance,Medium,P2,Data Presentation & Formatting
Bug,Incorrect Sorting on Difficulty Band Table,Sorting by 'Accuracy' treats values as strings instead of numbers.,Functional,Medium,P2,Data Presentation & Formatting
Bug,Missing Empty States,"When no data is available, UI shows distorted row instead of empty state.",UI/UX,Medium,P2,Data Presentation & Formatting
Bug,Tooltip Text Clipping,Long counterfactual explanations clip outside the viewport on 1024px screens.,UI/UX,Medium,P2,Data Presentation & Formatting
Bug,Inconsistent Button Hover States,Hover transition timings differ across buttons.,UI/UX,Medium,P2,Layout & Styling
Bug,Color Contrast Violations in Dark Mode,Muted text color fails WCAG AA contrast ratio requirements.,Accessibility,Medium,P2,Accessibility (a11y) Violations
Bug,Missing ARIA Labels on Canvas,Graph and pipeline canvases lack ARIA labels.,Accessibility,Medium,P2,Accessibility (a11y) Violations
Bug,Keyboard Navigation Traps,Pressing TAB gets trapped in the custom transaction form.,Accessibility,Medium,P2,Accessibility (a11y) Violations
Bug,Export Downloads as .TXT instead of .CSV,Clicking 'Export' saves metrics as a raw JSON string in .txt file.,Functional,Medium,P2,Data Presentation & Formatting
Bug,Filter Dropdown Stays Open,Clicking outside the dropdown does not close it on Firefox.,Browser Compat,Medium,P2,State & DOM Management
Bug,Unclear Error Message on Network Failure,No toast notification when clicking Run while API is offline.,UI/UX,Medium,P2,Data Presentation & Formatting
Bug,Missing Loading Skeletons,Dashboard goes blank instead of showing skeletons when fetching data.,UI/UX,Medium,P2,Data Presentation & Formatting
Bug,Date Picker Doesn't Support Keyboard Input,Manual date entry reverts to previous date.,Functional,Medium,P2,Input Handling & Validation
Bug,Session Timeout Does Not Redirect,Expired JWT causes 401s but no redirect to login.,Security,Medium,P2,Authentication & Authorization
Bug,Memory Leak in Stream Log,DOM nodes are detached but not garbage collected in stream log.,Performance,Medium,P2,State & DOM Management
Bug,Missing Focus Outlines,Buttons lack :focus-visible outlines.,Accessibility,Medium,P2,Accessibility (a11y) Violations
Bug,SVG Icons Do Not Scale,Zooming to 200% breaks header alignment.,Accessibility,Medium,P2,Layout & Styling
Bug,Incorrect Risk Color Mapping,Risk scores of 70 are mapped to Yellow instead of Red.,Functional,Medium,P2,Data Presentation & Formatting
Bug,Typo in Tooltip,Tooltip for Graph Agent says 'algorythms' instead of 'algorithms'.,UI/UX,Minor,P3,Data Presentation & Formatting
Bug,Misaligned Header Badge,The badge is 1px lower than the header text baseline.,UI/UX,Minor,P3,Layout & Styling
Bug,Console Warning on Mount,React warns about a missing 'key' prop.,Code Quality,Minor,P3,Code Hygiene & Best Practices
Bug,Redundant API Call on Tab Switch,Unnecessary GET /health request on tab switch.,Performance,Minor,P3,Infrastructure & Networking
Bug,Favicon Missing,Site lacks a favicon.,UI/UX,Minor,P3,Code Hygiene & Best Practices
Bug,Scrollbar Thumb Too Thin,"Custom scrollbar thumb is 4px, hard to click.",UI/UX,Minor,P3,Layout & Styling
Bug,Unused CSS Variables,CSS variables defined but never used.,Code Quality,Minor,P3,Code Hygiene & Best Practices
Bug,Missing Meta Description,index.html lacks a meta description tag.,Code Quality,Minor,P3,Code Hygiene & Best Practices
Bug,Inconsistent Padding on Buttons,Button paddings differ (8px vs 10px).,UI/UX,Minor,P3,Layout & Styling
Bug,Capitalization Inconsistency,Buttons mix Title Case and Sentence case.,UI/UX,Minor,P3,Data Presentation & Formatting
Bug,Placeholder Text Contrast,Placeholders have low contrast ratio (2.1:1).,Accessibility,Minor,P3,Accessibility (a11y) Violations
Bug,No Max Length on City Input,"City input allows 1000 chars, breaking card UI.",Functional,Minor,P3,Input Handling & Validation
Bug,Missing Print Styles,Printing dashboard results in broken layout.,UI/UX,Minor,P3,Layout & Styling
Bug,Console.log left in production,Console logs 'DEBUG: rendered' on every update.,Code Quality,Minor,P3,Code Hygiene & Best Practices
Bug,Unoptimized PNG usage,Background image served as PNG instead of WebP.,Performance,Minor,P3,Code Hygiene & Best Practices
Bug,Missing 'lang' attribute on divs,Some text containers lack language definition.,Accessibility,Minor,P3,Accessibility (a11y) Violations
Bug,Hover state on active tab,Active tab still shows hover effect.,UI/UX,Minor,P3,Layout & Styling
Bug,Double space in empty state text,Text has two spaces: 'No  data'.,UI/UX,Minor,P3,Data Presentation & Formatting
Bug,Incorrect font fallback,System-ui listed before OS-specific fallbacks.,Code Quality,Minor,P3,Code Hygiene & Best Practices
Bug,Z-index issues on tooltips,Tooltips get hidden behind header.,UI/UX,Minor,P3,Layout & Styling
